종목명,ticker,데이터일수,매수신호,매도신호,MTF_수익률,MTF_MDD,MTF_승률,MTF_거래수,ML_수익률,ML_MDD,ML_승률,ML_거래수
삼성전자,005930.KS,729,17,459,5.88,-15.98,63.6,28,16.18,-15.49,77.8,22
SK하이닉스,000660.KS,729,18,475,-4.5,-22.71,54.5,44,0.96,-13.9,64.3,30
현대차,005380.KS,729,9,512,76.68,-17.81,83.3,33,32.56,-2.43,80.0,12
NAVER,035420.KS,729,20,527,-9.62,-26.89,57.1,32,33.52,-4.41,81.8,24
카카오,035720.KS,729,17,544,45.7,-19.06,60.0,22,29.77,-5.21,100.0,18
LG화학,051910.KS,729,10,601,0.03,-12.98,33.3,16,19.81,-5.87,100.0,16
삼성SDI,006400.KS,729,17,591,71.26,-15.36,33.3,22,21.17,-8.19,90.9,22
셀트리온,068270.KS,729,18,484,-21.63,-30.58,63.6,36,29.78,-5.79,66.7,26
기아,000270.KS,729,18,457,34.08,-24.24,44.4,36,1.68,-9.53,64.3,30
KB금융,105560.KS,729,13,419,59.39,-15.98,88.9,35,45.34,-6.1,81.8,24
신한지주,055550.KS,729,25,426,22.63,-22.14,100.0,29,16.06,-4.37,92.3,26
현대모비스,012330.KS,729,19,449,20.74,-26.67,85.7,30,32.37,-6.9,60.0,32
LG전자,066570.KS,729,14,534,68.69,-10.6,75.0,26,-0.02,-9.27,50.0,18
삼성물산,028260.KS,729,21,458,31.83,-10.96,50.0,30,54.78,-2.68,60.0,32
SK텔레콤,017670.KS,729,12,455,17.85,-8.49,40.0,32,3.82,-2.59,77.8,18
한미반도체,042700.KS,729,27,495,-33.49,-54.64,100.0,45,79.77,-9.38,85.7,34
삼성전기,009150.KS,729,13,506,41.14,-15.07,37.5,24,9.41,-5.24,44.4,18
KT,030200.KS,729,23,422,34.75,-6.79,66.7,24,16.17,-4.15,64.3,28
하나금융지주,086790.KS,729,24,426,18.55,-18.15,81.8,40,13.48,-13.43,87.5,20
포스코퓨처엠,003670.KS,729,14,586,-22.07,-40.93,0.0,32,27.5,-5.44,72.7,22
